Year,YALE.SPCOMP - S&P Composite,YALE.SPCOMP - Dividend,YALE.SPCOMP - Earnings,YALE.SPCOMP - CPI,YALE.SPCOMP - Long Interest Rate,YALE.SPCOMP - Real Price,YALE.SPCOMP - Real Dividend,YALE.SPCOMP - Real Earnings,YALE.SPCOMP - Cyclically Adjusted PE Ratio
1888-11-30,5.24,0.2317,0.2683,8.277679339,3.4866666666667,150.5072326407,6.6550621761165,7.7063149842558,15.223749016946002
1888-12-31,5.14,0.23,0.26,8.277679339,3.4683333333333,147.63495720863,6.6062334937712,7.4679161233936,14.946748301089
1889-01-31,5.24,0.2292,0.2633,7.992232066000001,3.45,155.8826870531,6.818380128353,7.8328075383741,15.802286071027998
1889-02-28,5.3,0.2283,0.2667,7.8970910739999995,3.4475,159.56711948641,6.8734289393862,8.0295378805707,16.192720447849
1889-03-31,5.19,0.2275,0.27,7.801941983,3.445,158.16097135671,6.9328749486806,8.2280274116209,16.065045360769002
1889-04-30,5.18,0.2267,0.2733,7.801941983,3.4425,157.85622960073,6.908495608201701,8.3285921910963,16.050104533966998
1889-05-31,5.32,0.2258,0.2767,7.611651901,3.44,166.17565364934998,7.0530944725608,8.6430081512736,16.915421076068
1889-06-30,5.41,0.225,0.28,7.611651901,3.4375,168.98689591034,7.0281056524632,8.746087034176401,17.219302943947998
1889-07-31,5.3,0.2242,0.2833,7.611651901,3.435,165.55093314691,7.0031168323654995,8.8491659170792,16.889214491108
1889-08-31,5.37,0.2233,0.2867,7.611651901,3.4325,167.73745490545,6.9750044097557,8.9553684024942,17.131853975346
1889-09-30,5.5,0.2225,0.29,7.706792892999999,3.43,169.67727602848998,6.864217075698201,8.9466200087752,17.350788026349
1889-10-31,5.4,0.2217,0.2933,7.706792892999999,3.4275,166.59223464616002,6.8395367446395,9.048426374392301,17.053214402955
1889-11-30,5.35,0.2208,0.2967,7.706792892999999,3.425,165.04971395498998,6.8117713721985,9.1533177813917,16.906021170248998
1889-12-31,5.32,0.22,0.3,7.801941983,3.4225,162.12261418453002,6.704318631691099,9.1422526795788,16.610338076603
1890-01-31,5.38,0.22,0.2992,7.611651901,3.42,168.04981515667,6.871925526852901,9.3458187165199,17.220071982182
1890-02-28,5.32,0.22,0.2983,7.611651901,3.4366666666667003,166.17565364934998,6.871925526852901,9.31770629391,17.026814982671002
1890-03-31,5.28,0.22,0.2975,7.611651901,3.4533333333333,164.92621264446998,6.871925526852901,9.2927174738124,16.90112228859
1890-04-30,5.39,0.22,0.2967,7.611651901,3.47,168.3621754079,6.871925526852901,9.2677286537147,17.257854542603
1890-05-31,5.62,0.22,0.2958,7.706792892999999,3.4866666666667,173.3793256873,6.787091041139799,9.1255524089507,17.786430487859
1890-06-30,5.58,0.22,0.295,7.706792892999999,3.5033333333332997,172.14530913436002,6.787091041139799,9.100872077892,17.684360844449998
1890-07-31,5.54,0.22,0.2942,7.706792892999999,3.52,170.91129258143,6.787091041139799,9.0761917468333,17.589295440864998
1890-08-31,5.41,0.22,0.2933,7.992232066000001,3.5366666666667004,160.939949801,6.5446929678781,8.7252656703575,16.596791133979
1890-09-30,5.32,0.22,0.2925,8.087381157000001,3.5533333333333,156.40059562485,6.4676938040352,8.5990928985468,16.169702000615
1890-10-31,5.08,0.22,0.2917,8.087381157000001,3.57,149.34492965681002,6.4676938040352,8.575574011986701,15.482849163344
1890-11-30,4.71,0.22,0.2908,7.8970910739999995,3.5866666666667,141.80398731717,6.6235408088697,8.755116669178701,14.745043493293
1890-12-31,4.6,0.22,0.29,7.8970910739999995,3.6033333333332997,138.49221691273002,6.6235408088697,8.731031066237401,14.442991231338
1891-01-31,4.84,0.22,0.2942,7.801941983,3.62,147.4950098972,6.704318631691099,8.9655024611069,15.428980086469
1891-02-28,4.9,0.22,0.2983,7.8970910739999995,3.6183333333333,147.52431801574,6.6235408088697,8.980919196753801,15.476522332433
1891-03-31,4.81,0.22,0.3025,7.992232066000001,3.6166666666667004,143.09078716133,6.5446929678781,8.998952830832401,15.051623357657
1891-04-30,4.97,0.22,0.3067,8.087381157000001,3.615,146.1110827548,6.4676938040352,9.016553134989099,15.408945125474
1891-05-31,4.95,0.22,0.3108,7.992232066000001,3.6133333333332995,147.25559177726,6.5446929678781,9.2458662473478,15.566495230713
1891-06-30,4.85,0.22,0.315,7.801941983,3.6116666666667,147.79975165319,6.704318631691099,9.5993653135577,15.658211395638
1891-07-31,4.77,0.22,0.3192,7.706792892999999,3.61,147.15647393743998,6.787091041139799,9.847452092417301,15.617919238646
1891-08-31,4.93,0.22,0.3233,7.706792892999999,3.6083333333332996,152.09254014918002,6.787091041139799,9.9739387890931,16.163998509963
1891-09-30,5.33,0.22,0.3275,7.611651901,3.6066666666667,166.48801390057,6.871925526852901,10.229798227474001,17.711261413257
1891-10-31,5.33,0.22,0.3317,7.611651901,3.605,166.48801390057,6.871925526852901,10.360989532987,17.716568589826
1891-11-30,5.25,0.22,0.3358,7.51650281,3.6033333333332997,166.06501973755,6.9589151128116,10.621834976737,17.671739174764
1891-12-31,5.41,0.22,0.34,7.51650281,3.6016666666667003,171.1260489105,6.9589151128116,10.754686992527,18.206303000210003
1892-01-31,5.51,0.2217,0.3425,7.326212727000001,3.6,178.81615663056,7.1948351950988,11.115160371319,19.016388404224998
1892-02-29,5.52,0.2233,0.345,7.326212727000001,3.6125,179.14068686036998,7.246760031869901,11.196292928773,19.036425040978
1892-03-31,5.58,0.225,0.3475,7.135922645,3.625,185.91684789766998,7.496647092648,11.578154954201,19.738054849323
