Date,Country,Composite Leading Index
2003-01-01,Belgium,99.11239
1969-01-01,Hungary,
1965-01-01,Poland,
1989-01-01,India,
1986-01-01,Israel,
1992-01-01,Denmark,99.35153
1964-01-01,Hungary,
1983-01-01,Canada,96.64432
1991-01-01,Sweden,101.0089
2009-01-01,Poland,100.2085
1962-01-01,Switzerland,
1964-01-01,India,
1991-01-01,Netherlands,100.7551
2001-01-01,France,101.3856
1984-01-01,Czech Republic,
2001-01-01,Israel,102.753
1975-01-01,Korea,
2012-01-01,Italy,101.8633
2002-01-01,Greece,98.90951
1974-01-01,Italy,101.7617
1974-01-01,United Kingdom,103.1332
1996-01-01,Sweden,100.462
1999-01-01,Slovak Republic,101.2013
2008-01-01,Belgium,101.1014
1998-01-01,New Zealand,99.92145
2011-01-01,Korea,102.8868
1977-01-01,United States,99.97092
1959-01-01,Belgium,
1988-01-01,Israel,
1964-01-01,Poland,
2014-01-01,Portugal,97.14989
1990-01-01,Chile,
2010-01-01,New Zealand,98.16938
1964-01-01,United States,99.75488
2015-01-01,Turkey,100.0639
1959-01-01,Portugal,
2009-01-01,Ireland,104.4277
1969-01-01,Norway,
1972-01-01,Austria,100.2143
1989-01-01,Poland,
1993-01-01,South Africa,98.9713
1983-01-01,Finland,
1964-01-01,Italy,100.8445
2000-01-01,Hungary,99.19395
1985-01-01,Japan,99.85759
1977-01-01,Turkey,
1967-01-01,India,
2000-01-01,Israel,98.57277
1961-01-01,Indonesia,
1989-01-01,Slovak Republic,
1962-01-01,Chile,
1963-01-01,Italy,
1976-01-01,Greece,96.08371
1979-01-01,France,99.78509
2014-01-01,India,99.3985
1995-01-01,Brazil,100.5756
1966-01-01,Australia,
1998-01-01,United States,99.87403
1993-01-01,Slovenia,
1976-01-01,Slovak Republic,
1962-01-01,Spain,
1960-01-01,Sweden,
2001-01-01,South Africa,100.6323
1957-01-01,Germany,
1956-01-01,New Zealand,
2008-01-01,Australia,100.6043
1959-01-01,India,
1975-01-01,Czech Republic,
1971-01-01,South Africa,
1981-01-01,Chile,
2015-01-01,Norway,101.3068
1969-01-01,People's Republic of China.: Mainland,
2011-01-01,Hungary,99.70947
1975-01-01,Ireland,
1988-01-01,South Africa,100.3564
1960-01-01,Hungary,
